Year,Highest certificate obtained,State,Labour Force ('000),Employed persons ('000)
1983,Religious certificate,Perak,2,1.7
1983,No certificate,Perak,451,429.6
1983,Not applicable,Perak,85.4,83.6
1983,Total,Perlis,66,63.8
1983,UPSR/UPSRA or equivalent,Perlis,-,-
1983,PT3/PMR/SRP/LCE/SRA or equivalent,Perlis,4.1,4.1
1983,SPM or equivalent,Perlis,7.9,6.6
1983,STPM or equivalent,Perlis,0.3,0.3
1983,Certificate,Perlis,-,-
1983,Diploma,Perlis,1.5,1.3
1983,Degree,Perlis,0.1,0.1
1983,Religious certificate,Perlis,0, -
1983,No certificate,Perlis,44.6,43.8
1983,Not applicable,Perlis,7.6,7.6
1983,Total,Selangor,757.2,739.9
1983,UPSR/UPSRA or equivalent,Selangor,-,-
1983,PT3/PMR/SRP/LCE/SRA or equivalent,Selangor,70,67.3
1983,SPM or equivalent,Selangor,155.1,150.2
1983,STPM or equivalent,Selangor,16.8,16.5
1983,Certificate,Selangor,-,-
1983,Diploma,Selangor,20.6,20.6
1983,Degree,Selangor,27,25.3
1983,Religious certificate,Selangor,1.1,1.1
1983,No certificate,Selangor,412.6,405.3
1983,Not applicable,Selangor,54,53.7
1983,Total,Terengganu,243.1,236.9
1983,UPSR/UPSRA or equivalent,Terengganu,-,-
1983,PT3/PMR/SRP/LCE/SRA or equivalent,Terengganu,15.4,14.5
1983,SPM or equivalent,Terengganu,29.7,27.1
1983,STPM or equivalent,Terengganu,1.2,1.2
1983,Certificate,Terengganu,-,-
1983,Diploma,Terengganu,9.7,9.7
1983,Degree,Terengganu,2.2,2.2
1983,Religious certificate,Terengganu,0.9,0.9
1983,No certificate,Terengganu,134.5,132
1983,Not applicable,Terengganu,49.3,49.2
1983,Total,Sabah,393.8,377.7
1983,UPSR/UPSRA or equivalent,Sabah,-,-
1983,PT3/PMR/SRP/LCE/SRA or equivalent,Sabah,46.6,43.2
1983,SPM or equivalent,Sabah,34.2,32.9
1983,STPM or equivalent,Sabah,3.1,3.1
1983,Certificate,Sabah,-,-
1983,Diploma,Sabah,3.1,3.1
1983,Degree,Sabah,5,4.9
1983,Religious certificate,Sabah,0.4,0.4
1983,No certificate,Sabah,201.6,191.8
1983,Not applicable,Sabah,99.8,98.4
1983,Total,Sarawak,569.5,540.1
1983,UPSR/UPSRA or equivalent,Sarawak,-,-
1983,PT3/PMR/SRP/LCE/SRA or equivalent,Sarawak,48.7,42.4
1983,SPM or equivalent,Sarawak,41,37.5
1983,STPM or equivalent,Sarawak,3.2,3.1
1983,Certificate,Sarawak,-,-
1983,Diploma,Sarawak,10.4,10.3
1983,Degree,Sarawak,6.5,6.2
1983,Religious certificate,Sarawak,0.1,0.1
1983,No certificate,Sarawak,275.3,258.2
1983,Not applicable,Sarawak,184.2,182.2
1983,Total,W.P. Kuala Lumpur,439.6,430.7
1983,UPSR/UPSRA or equivalent,W.P. Kuala Lumpur,-,-
1983,PT3/PMR/SRP/LCE/SRA or equivalent,W.P. Kuala Lumpur,52.1,50.9
1983,SPM or equivalent,W.P. Kuala Lumpur,100.5,98.8
1983,STPM or equivalent,W.P. Kuala Lumpur,9.4,9.4
1983,Certificate,W.P. Kuala Lumpur,-,-
1983,Diploma,W.P. Kuala Lumpur,11.5,11.2
1983,Degree,W.P. Kuala Lumpur,13.1,13.1
1983,Religious certificate,W.P. Kuala Lumpur,0.8,0.8
1983,No certificate,W.P. Kuala Lumpur,234.3,228.6
1983,Not applicable,W.P. Kuala Lumpur,18,18
1984,Total,Malaysia,"5,862.50","5,566.70"
1984,UPSR/UPSRA or equivalent,Malaysia,-,-
1984,PT3/PMR/SRP/LCE/SRA or equivalent,Malaysia,605.2,555.9
1984,SPM or equivalent,Malaysia,869.4,799.7
1984,STPM or equivalent,Malaysia,72.3,66.6
1984,Certificate,Malaysia,-,-
1984,Diploma,Malaysia,143.1,139.8
1984,Degree,Malaysia,114.4,109.7
1984,Religious certificate,Malaysia,7,6.7
1984,No certificate,Malaysia,"3,209.20","3,066.10"
1984,Not applicable,Malaysia,841.4,821.8
1984,Total,Johor,688.2,657.3
1984,UPSR/UPSRA or equivalent,Johor,-,-
1984,PT3/PMR/SRP/LCE/SRA or equivalent,Johor,64.3,60.1
1984,SPM or equivalent,Johor,95.4,86.8
1984,STPM or equivalent,Johor,6.7,5.9
1984,Certificate,Johor,-,-
1984,Diploma,Johor,17.9,17.4
1984,Degree,Johor,9,8.4
1984,Religious certificate,Johor,1.3,1.3
1984,No certificate,Johor,428.4,413.9
1984,Not applicable,Johor,65,63.4
1984,Total,Kedah,442.6,417.6
1984,UPSR/UPSRA or equivalent,Kedah,-,-
1984,PT3/PMR/SRP/LCE/SRA or equivalent,Kedah,36.3,31.5
1984,SPM or equivalent,Kedah,54.5,46.8
1984,STPM or equivalent,Kedah,3.8,2.9
1984,Certificate,Kedah,-,-
1984,Diploma,Kedah,11.4,11.3
1984,Degree,Kedah,5,4.9
1984,Religious certificate,Kedah,0.6,0.6
1984,No certificate,Kedah,255.9,245.9
1984,Not applicable,Kedah,75,73.6
1984,Total,Kelantan,341,322.3
1984,UPSR/UPSRA or equivalent,Kelantan,-,-
1984,PT3/PMR/SRP/LCE/SRA or equivalent,Kelantan,28,25.4
1984,SPM or equivalent,Kelantan,45.2,38.7
1984,STPM or equivalent,Kelantan,3.8,3.2
1984,Certificate,Kelantan,-,-
1984,Diploma,Kelantan,10,9.5
1984,Degree,Kelantan,4.7,4.5
1984,Religious certificate,Kelantan,0.4,0.3
1984,No certificate,Kelantan,146.7,140.4
1984,Not applicable,Kelantan,102.1,100.4
1984,Total,Melaka,171.8,162.5
1984,UPSR/UPSRA or equivalent,Melaka,-,-
1984,PT3/PMR/SRP/LCE/SRA or equivalent,Melaka,16.2,15.1
1984,SPM or equivalent,Melaka,28,24.9
1984,STPM or equivalent,Melaka,1.7,1.6
1984,Certificate,Melaka,-,-
1984,Diploma,Melaka,4.1,3.9
1984,Degree,Melaka,3.3,3
1984,Religious certificate,Melaka,0,0
1984,No certificate,Melaka,101.1,97.5
1984,Not applicable,Melaka,17.4,16.6
1984,Total,Negeri Sembilan,234.9,223.3
1984,UPSR/UPSRA or equivalent,Negeri Sembilan,-,-
1984,PT3/PMR/SRP/LCE/SRA or equivalent,Negeri Sembilan,20.9,19.9
1984,SPM or equivalent,Negeri Sembilan,33.5,29.5
1984,STPM or equivalent,Negeri Sembilan,2.8,2.5
1984,Certificate,Negeri Sembilan,-,-
1984,Diploma,Negeri Sembilan,7.4,7.1
1984,Degree,Negeri Sembilan,4.2,4.1
1984,Religious certificate,Negeri Sembilan,0.3,0.3
1984,No certificate,Negeri Sembilan,147.5,142
1984,Not applicable,Negeri Sembilan,18.4,18
1984,Total,Pahang,321.7,306.9
1984,UPSR/UPSRA or equivalent,Pahang,-,-
1984,PT3/PMR/SRP/LCE/SRA or equivalent,Pahang,38.7,34.8
1984,SPM or equivalent,Pahang,48.7,46
1984,STPM or equivalent,Pahang,3,2.8
1984,Certificate,Pahang,-,-
1984,Diploma,Pahang,6.9,6.9
1984,Degree,Pahang,3,2.9
1984,Religious certificate,Pahang,1.2,1
1984,No certificate,Pahang,185.4,178.1
1984,Not applicable,Pahang,34.9,34.4
1984,Total,Pulau Pinang,397.9,383.7
1984,UPSR/UPSRA or equivalent,Pulau Pinang,-,-
1984,PT3/PMR/SRP/LCE/SRA or equivalent,Pulau Pinang,43.2,41.1
1984,SPM or equivalent,Pulau Pinang,71.1,67.5
1984,STPM or equivalent,Pulau Pinang,5.1,4.7
1984,Certificate,Pulau Pinang,-,-
1984,Diploma,Pulau Pinang,9.3,9
1984,Degree,Pulau Pinang,8.8,8.6
1984,Religious certificate,Pulau Pinang,0.1,0.1
1984,No certificate,Pulau Pinang,233.6,226.3
1984,Not applicable,Pulau Pinang,26.5,26.2
1984,Total,Perak,697.2,659.6
1984,UPSR/UPSRA or equivalent,Perak,-,-
1984,PT3/PMR/SRP/LCE/SRA or equivalent,Perak,69.3,62.8
1984,SPM or equivalent,Perak,76.6,68.9
1984,STPM or equivalent,Perak,4.9,4.5
1984,Certificate,Perak,-,-
1984,Diploma,Perak,16.9,16.5
1984,Degree,Perak,7.9,7.4
1984,Religious certificate,Perak,1.5,1.5
1984,No certificate,Perak,437.9,418.2
1984,Not applicable,Perak,82.3,79.8
1984,Total,Perlis,64.8,61.8
